num_job,age,age_group,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,number_subscription,subscripton_rate
8,43,36-45,blue-collar,married,unknown,yes,-715,yes,no,unknown,30,may,67,3,-1,0,unknown,no,69,7.29%
1,48,46-55,admin.,married,unknown,no,0,yes,no,cellular,8,may,85,1,168,2,failure,no,58,12.13%
97,27,26-35,technician,single,secondary,no,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no,83,10.81%
4,60,60+,management,married,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,no,131,13.52%
16,32,26-35,management,divorced,tertiary,no,948,no,no,cellular,12,aug,204,2,-1,0,unknown,no,131,13.52%
1,56,60+,services,divorced,unknown,no,1877,yes,no,unknown,30,may,86,1,-1,0,unknown,no,38,9.11%
4,37,36-45,technician,single,unknown,no,391,yes,no,unknown,8,may,103,3,-1,0,unknown,no,83,10.81%
2,41,36-45,entrepreneur,married,unknown,no,89,yes,no,unknown,6,may,333,2,-1,0,unknown,no,15,8.93%
2,45,36-45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no,13,10.16%
15,55,46-55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no,15,8.93%
16,35,26-35,technician,divorced,secondary,no,308,no,no,cellular,22,aug,77,2,-1,0,unknown,no,83,10.81%
11,27,26-35,self-employed,single,secondary,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown,no,20,10.93%
2,34,26-35,blue-collar,married,tertiary,no,20,no,no,unknown,4,oct,10,1,-1,0,unknown,no,69,7.29%
32,41,36-45,admin.,single,secondary,no,-256,no,yes,unknown,9,may,35,3,-1,0,unknown,no,58,12.13%
7,78,60+,housemaid,married,secondary,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,no,14,12.50%
67,32,26-35,admin.,married,secondary,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown,no,58,12.13%
1,37,36-45,unknown,married,unknown,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,no,7,18.42%
14,34,26-35,admin.,married,tertiary,no,899,yes,no,telephone,19,nov,377,3,7,4,success,no,58,12.13%
6,29,26-35,blue-collar,single,tertiary,no,455,no,no,telephone,21,apr,403,1,-1,0,unknown,yes,69,7.29%
26,45,36-45,technician,single,tertiary,no,0,yes,no,cellular,18,nov,139,2,-1,0,unknown,no,83,10.81%
4,25,18-25,blue-collar,single,secondary,no,-350,yes,no,unknown,23,jun,95,3,-1,0,unknown,no,69,7.29%
2,53,46-55,retired,married,tertiary,no,-22,yes,no,cellular,31,jul,20,3,-1,0,unknown,no,54,23.48%
4,41,36-45,self-employed,married,primary,no,204,no,no,cellular,13,aug,111,7,-1,0,unknown,no,20,10.93%
14,54,46-55,management,married,primary,no,1691,yes,no,cellular,20,nov,186,1,-1,0,unknown,no,131,13.52%
4,52,46-55,unknown,married,secondary,no,142,no,no,cellular,25,aug,112,6,-1,0,unknown,no,7,18.42%
19,45,36-45,blue-collar,single,secondary,no,0,yes,no,cellular,26,jul,768,2,91,5,success,no,69,7.29%
21,30,26-35,student,single,secondary,no,3096,no,no,cellular,26,jan,123,1,-1,0,unknown,no,19,22.62%
1,57,60+,technician,married,unknown,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,no,83,10.81%
17,57,60+,housemaid,married,primary,no,7082,no,no,unknown,6,jun,69,3,-1,0,unknown,no,14,12.50%
6,51,46-55,unemployed,married,tertiary,no,1634,yes,no,cellular,22,jul,168,4,-1,0,unknown,no,13,10.16%
11,50,46-55,self-employed,married,tertiary,no,4012,no,no,cellular,19,nov,690,3,-1,0,unknown,no,20,10.93%
13,32,26-35,unemployed,single,secondary,no,0,no,no,cellular,27,may,123,2,-1,0,unknown,no,13,10.16%
5,42,36-45,technician,divorced,tertiary,no,7190,yes,no,cellular,29,jul,375,2,-1,0,unknown,no,83,10.81%
6,54,46-55,housemaid,married,secondary,no,209,yes,yes,cellular,25,jul,97,1,-1,0,unknown,no,14,12.50%
14,53,46-55,entrepreneur,married,tertiary,no,624,no,yes,cellular,21,jul,180,4,-1,0,unknown,no,15,8.93%
4,58,60+,technician,married,tertiary,no,883,no,no,cellular,18,aug,543,1,78,2,failure,no,83,10.81%
22,40,36-45,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373,1,-1,0,unknown,no,20,10.93%
4,56,60+,services,divorced,secondary,no,1007,no,no,cellular,29,jul,88,6,-1,0,unknown,no,38,9.11%
15,46,46-55,management,married,secondary,no,12186,no,no,unknown,20,jun,29,3,-1,0,unknown,no,131,13.52%
5,59,60+,self-employed,married,tertiary,no,593,no,no,unknown,13,may,64,2,-1,0,unknown,no,20,10.93%
3,40,36-45,student,married,secondary,no,260,no,no,unknown,20,jun,197,6,-1,0,unknown,no,19,22.62%
1,49,46-55,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,30,jul,988,2,-1,0,unknown,yes,15,8.93%
5,38,36-45,unemployed,married,primary,no,1147,yes,yes,unknown,8,may,249,5,-1,0,unknown,no,13,10.16%
6,55,46-55,management,married,unknown,no,559,no,no,cellular,28,jan,271,2,-1,0,unknown,no,131,13.52%
14,43,36-45,blue-collar,single,primary,no,2,yes,no,cellular,30,jul,783,3,-1,0,unknown,no,69,7.29%
3,25,18-25,admin.,single,tertiary,no,760,yes,no,cellular,27,may,223,3,89,2,failure,yes,58,12.13%
6,50,46-55,admin.,married,primary,no,276,no,yes,unknown,17,jun,641,6,-1,0,unknown,no,58,12.13%
10,35,26-35,entrepreneur,married,secondary,no,2971,no,no,cellular,4,may,429,4,164,2,failure,yes,15,8.93%
5,45,36-45,admin.,married,unknown,no,1783,no,no,unknown,20,jun,11,11,-1,0,unknown,no,58,12.13%
1,60,60+,self-employed,single,tertiary,no,179,no,yes,cellular,29,jul,79,4,-1,0,unknown,no,20,10.93%
10,51,46-55,unemployed,married,secondary,no,1760,no,yes,cellular,19,nov,162,1,-1,0,unknown,no,13,10.16%
6,35,26-35,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,jul,799,2,-1,0,unknown,yes,15,8.93%
13,35,26-35,unemployed,married,secondary,no,978,no,no,cellular,29,dec,1370,3,209,3,success,yes,13,10.16%
10,48,46-55,admin.,single,secondary,no,1150,yes,no,unknown,28,may,357,1,-1,0,unknown,no,58,12.13%
4,32,26-35,services,married,primary,no,228,yes,no,cellular,21,jul,1017,6,-1,0,unknown,yes,38,9.11%
2,51,46-55,self-employed,divorced,primary,no,10924,no,no,cellular,6,may,106,2,-1,0,unknown,no,20,10.93%
18,56,60+,retired,married,tertiary,no,478,no,no,cellular,5,feb,97,1,-1,0,unknown,no,54,23.48%
5,60,60+,management,single,tertiary,no,0,no,yes,cellular,23,jul,151,1,-1,0,unknown,no,131,13.52%
8,41,36-45,self-employed,single,tertiary,no,3950,yes,no,unknown,30,may,96,2,-1,0,unknown,no,20,10.93%
3,37,36-45,management,single,unknown,no,504,yes,no,cellular,16,apr,555,1,-1,0,unknown,no,131,13.52%
4,27,26-35,management,single,unknown,no,3196,no,no,cellular,9,feb,10,2,-1,0,unknown,no,131,13.52%
15,48,46-55,admin.,divorced,secondary,no,4099,no,no,cellular,2,apr,397,2,-1,0,unknown,yes,58,12.13%
15,50,46-55,housemaid,married,primary,no,395,yes,no,unknown,15,may,419,2,-1,0,unknown,no,14,12.50%
1,60,60+,technician,single,primary,no,11262,no,no,cellular,26,aug,323,1,-1,0,unknown,yes,83,10.81%
4,58,60+,housemaid,married,tertiary,no,497,no,no,unknown,11,jun,138,5,-1,0,unknown,no,14,12.50%
8,40,36-45,management,married,primary,no,733,yes,no,unknown,6,jun,94,7,-1,0,unknown,no,131,13.52%
1,53,46-55,technician,divorced,primary,no,7290,yes,no,unknown,30,may,153,1,-1,0,unknown,no,83,10.81%
6,35,26-35,technician,divorced,tertiary,no,4515,yes,no,cellular,19,nov,98,2,-1,0,unknown,no,83,10.81%
12,48,46-55,retired,married,primary,yes,-285,no,yes,cellular,19,nov,157,1,-1,0,unknown,no,54,23.48%
3,55,46-55,entrepreneur,divorced,tertiary,no,0,no,no,unknown,6,jun,108,2,-1,0,unknown,no,15,8.93%
2,37,36-45,admin.,divorced,tertiary,no,4303,yes,no,unknown,23,may,168,1,-1,0,unknown,no,58,12.13%
7,24,18-25,blue-collar,married,secondary,no,1222,yes,no,cellular,20,apr,369,1,-1,0,unknown,no,69,7.29%
9,25,18-25,services,single,secondary,no,402,no,yes,cellular,7,jul,264,1,-1,0,unknown,no,38,9.11%
12,35,26-35,blue-collar,divorced,secondary,no,3102,yes,no,cellular,20,nov,138,1,-1,0,unknown,no,69,7.29%
12,40,36-45,management,single,secondary,no,10378,yes,no,cellular,17,nov,523,3,-1,0,unknown,no,131,13.52%
19,55,46-55,self-employed,married,secondary,no,-196,yes,no,unknown,20,may,210,2,-1,0,unknown,no,20,10.93%
29,57,60+,blue-collar,married,primary,no,452,yes,no,unknown,13,may,139,4,-1,0,unknown,no,69,7.29%
2,56,60+,management,single,secondary,no,237,yes,no,telephone,9,jul,236,4,-1,0,unknown,no,131,13.52%
16,55,46-55,services,divorced,secondary,yes,-404,yes,no,cellular,22,jul,502,3,-1,0,unknown,no,38,9.11%
5,55,46-55,blue-collar,single,primary,no,1187,yes,no,unknown,2,jun,193,2,-1,0,unknown,no,69,7.29%
14,52,46-55,blue-collar,married,unknown,no,826,yes,no,unknown,15,may,468,2,-1,0,unknown,no,69,7.29%
15,33,26-35,services,divorced,secondary,no,991,yes,no,unknown,27,may,148,1,-1,0,unknown,no,38,9.11%
2,19,18-25,student,single,primary,no,103,no,no,cellular,10,jul,104,2,-1,0,unknown,yes,19,22.62%
1,52,46-55,self-employed,single,primary,no,217,no,yes,cellular,15,jul,193,6,-1,0,unknown,no,20,10.93%
3,42,36-45,self-employed,divorced,tertiary,no,360,yes,no,unknown,24,jun,110,5,-1,0,unknown,no,20,10.93%
4,49,46-55,unemployed,divorced,secondary,no,66,no,no,cellular,9,jul,218,3,-1,0,unknown,no,13,10.16%
11,58,60+,management,married,primary,no,76,yes,no,telephone,18,may,54,4,-1,0,unknown,no,131,13.52%
3,27,26-35,technician,single,unknown,no,59,no,no,cellular,15,jul,792,4,-1,0,unknown,no,83,10.81%
5,46,46-55,entrepreneur,married,unknown,no,242,yes,no,unknown,9,may,332,2,-1,0,unknown,no,15,8.93%
3,37,36-45,unemployed,single,tertiary,yes,0,yes,no,cellular,10,jul,108,1,-1,0,unknown,no,13,10.16%
2,28,26-35,entrepreneur,married,unknown,no,1034,no,no,cellular,29,jan,113,1,-1,0,unknown,no,15,8.93%
11,37,36-45,housemaid,married,primary,no,189,no,no,cellular,8,aug,148,4,-1,0,unknown,no,14,12.50%
4,60,60+,retired,divorced,unknown,no,-49,yes,no,cellular,29,jan,188,1,261,2,failure,no,54,23.48%
29,43,36-45,technician,divorced,secondary,no,1413,yes,no,telephone,28,jul,75,3,-1,0,unknown,no,83,10.81%
2,51,46-55,unemployed,single,tertiary,no,1594,no,no,telephone,4,feb,197,1,-1,0,unknown,no,13,10.16%
4,50,46-55,services,single,secondary,no,72,no,no,unknown,8,may,141,2,-1,0,unknown,no,38,9.11%
3,58,60+,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,jun,700,1,-1,0,unknown,yes,20,10.93%
3,57,60+,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43,8,-1,0,unknown,no,58,12.13%
5,56,60+,unknown,married,unknown,no,0,no,no,unknown,20,jun,471,2,-1,0,unknown,no,7,18.42%
4,33,26-35,housemaid,single,tertiary,no,23663,yes,no,cellular,16,apr,199,2,146,2,failure,no,14,12.50%
2,50,46-55,self-employed,divorced,tertiary,no,59,yes,no,unknown,28,may,67,2,-1,0,unknown,no,20,10.93%
7,53,46-55,entrepreneur,married,primary,no,1034,yes,no,cellular,19,nov,854,2,170,3,other,no,15,8.93%
4,46,46-55,blue-collar,single,secondary,no,324,yes,no,unknown,30,may,293,6,-1,0,unknown,no,69,7.29%
5,55,46-55,retired,divorced,secondary,no,138,no,no,cellular,17,jul,205,1,-1,0,unknown,no,54,23.48%
6,41,36-45,unemployed,divorced,secondary,no,1281,no,no,cellular,31,jul,45,3,-1,0,unknown,no,13,10.16%
1,28,26-35,admin.,single,unknown,no,174,no,no,cellular,28,sep,184,1,-1,0,unknown,no,58,12.13%
5,55,46-55,technician,single,secondary,no,3339,yes,no,unknown,2,jun,63,1,-1,0,unknown,no,83,10.81%
4,22,18-25,student,single,tertiary,no,1161,no,yes,cellular,16,jun,119,1,-1,0,unknown,no,19,22.62%
16,51,46-55,retired,married,secondary,no,35,no,yes,cellular,8,jul,123,4,-1,0,unknown,no,54,23.48%
11,35,26-35,entrepreneur,married,tertiary,no,0,no,no,cellular,5,may,74,1,168,4,failure,no,15,8.93%
1,35,26-35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,-1,0,unknown,yes,20,10.93%
1,35,26-35,housemaid,divorced,secondary,no,39,no,no,cellular,31,jul,149,2,-1,0,unknown,no,14,12.50%
5,29,26-35,student,single,unknown,no,2929,no,no,cellular,11,aug,91,1,-1,0,unknown,no,19,22.62%
1,38,36-45,self-employed,single,secondary,no,1146,yes,no,unknown,21,may,91,2,-1,0,unknown,no,20,10.93%
3,35,26-35,entrepreneur,married,primary,no,2643,no,yes,cellular,8,jul,259,1,-1,0,unknown,no,15,8.93%
3,57,60+,admin.,divorced,primary,no,1,no,no,unknown,15,may,17,10,-1,0,unknown,no,58,12.13%
3,37,36-45,management,divorced,secondary,no,414,no,no,cellular,29,jan,293,2,162,4,failure,no,131,13.52%
4,55,46-55,unknown,married,primary,no,159,no,no,unknown,4,sep,15,1,-1,0,unknown,no,7,18.42%
3,23,18-25,student,married,tertiary,yes,-230,yes,no,cellular,18,may,259,2,-1,0,unknown,no,19,22.62%
18,38,36-45,services,divorced,secondary,no,792,no,no,unknown,6,jun,430,1,-1,0,unknown,no,38,9.11%
1,53,46-55,services,divorced,unknown,no,1012,yes,no,cellular,28,jul,332,2,-1,0,unknown,no,38,9.11%
1,57,60+,housemaid,single,secondary,no,254,no,no,cellular,8,oct,676,1,-1,0,unknown,no,14,12.50%
2,53,46-55,technician,divorced,unknown,no,629,yes,no,cellular,8,may,298,1,-1,0,unknown,no,83,10.81%
1,51,46-55,admin.,single,tertiary,no,16,yes,no,cellular,30,jan,158,1,-1,0,unknown,no,58,12.13%
8,47,46-55,unemployed,married,primary,no,168,yes,no,telephone,30,jan,66,1,241,1,other,no,13,10.16%
3,55,46-55,housemaid,divorced,primary,no,976,no,no,cellular,28,jun,345,1,94,3,other,yes,14,12.50%
5,48,46-55,technician,divorced,tertiary,no,113,no,yes,cellular,22,jul,38,1,-1,0,unknown,no,83,10.81%
2,49,46-55,self-employed,married,primary,no,489,yes,no,unknown,27,may,84,4,-1,0,unknown,no,20,10.93%
4,33,26-35,blue-collar,divorced,primary,no,636,yes,no,cellular,9,jul,211,11,-1,0,unknown,no,69,7.29%
1,31,26-35,housemaid,single,primary,no,26965,no,no,cellular,21,apr,654,2,-1,0,unknown,yes,14,12.50%
10,45,36-45,entrepreneur,married,primary,no,58,yes,no,telephone,13,may,119,3,371,3,failure,no,15,8.93%
5,60,60+,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,-1,0,unknown,yes,83,10.81%
11,27,26-35,student,single,tertiary,no,5291,no,no,cellular,12,nov,192,2,92,2,failure,yes,19,22.62%
3,49,46-55,management,single,secondary,no,61,yes,no,cellular,29,jan,185,2,246,1,failure,no,131,13.52%
2,51,46-55,blue-collar,divorced,unknown,no,10287,yes,no,unknown,29,may,117,1,-1,0,unknown,no,69,7.29%
1,58,60+,technician,single,secondary,no,409,no,yes,cellular,14,jul,643,2,-1,0,unknown,no,83,10.81%
4,25,18-25,admin.,married,secondary,no,18,yes,no,cellular,18,jul,225,1,-1,0,unknown,no,58,12.13%
4,38,36-45,admin.,married,primary,no,3913,yes,no,cellular,20,apr,196,2,315,2,failure,no,58,12.13%
2,54,46-55,retired,divorced,tertiary,no,6102,yes,yes,unknown,21,may,86,6,-1,0,unknown,no,54,23.48%
2,34,26-35,blue-collar,divorced,unknown,no,172,no,no,cellular,15,jun,177,1,-1,0,unknown,yes,69,7.29%
3,48,46-55,blue-collar,single,unknown,no,428,yes,no,cellular,18,may,127,1,-1,0,unknown,no,69,7.29%
3,33,26-35,management,divorced,secondary,no,106,no,no,cellular,20,aug,175,3,-1,0,unknown,no,131,13.52%
1,55,46-55,management,divorced,unknown,no,2,yes,no,unknown,19,may,95,1,-1,0,unknown,no,131,13.52%
1,53,46-55,management,divorced,primary,no,255,no,no,cellular,19,nov,126,1,-1,0,unknown,no,131,13.52%
4,58,60+,self-employed,married,primary,no,1013,yes,no,cellular,11,aug,206,1,461,1,failure,yes,20,10.93%
1,34,26-35,entrepreneur,divorced,tertiary,no,262,no,no,cellular,20,nov,371,1,-1,0,unknown,no,15,8.93%
2,56,60+,blue-collar,divorced,primary,no,3021,no,no,unknown,9,jun,419,2,-1,0,unknown,no,69,7.29%
3,58,60+,blue-collar,divorced,secondary,no,543,no,yes,telephone,17,jul,264,3,-1,0,unknown,no,69,7.29%
10,56,60+,management,divorced,tertiary,no,1016,yes,no,unknown,9,jun,184,5,-1,0,unknown,no,131,13.52%
2,52,46-55,retired,divorced,primary,no,353,no,no,cellular,31,jul,395,4,-1,0,unknown,no,54,23.48%
1,43,36-45,retired,married,secondary,no,520,yes,no,unknown,20,may,15,13,-1,0,unknown,no,54,23.48%
1,41,36-45,housemaid,single,secondary,no,231,no,no,cellular,9,jul,76,2,-1,0,unknown,no,14,12.50%
1,49,46-55,retired,single,primary,no,25824,no,no,unknown,17,jun,94,1,-1,0,unknown,no,54,23.48%
3,46,46-55,management,single,primary,no,538,no,no,unknown,17,jun,118,3,-1,0,unknown,no,131,13.52%
